GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.4,BGD.4.6.4_1,328464.4067,271,1212.045781
BGD,BGD.4,BGD.4.6.5_1,,,
BGD,BGD.4,BGD.4.6.6_1,359031.8239,313,1147.06653
BGD,BGD.4,BGD.4.7.1_1,429586.8649,406,1058.095726
BGD,BGD.4,BGD.4.7.2_1,224767.9402,231,973.021386
BGD,BGD.4,BGD.4.7.3_1,186170.1931,229,812.9702757
BGD,BGD.4,BGD.4.7.4_1,,,
BGD,BGD.4,BGD.4.8.1_1,332483.4504,343,969.3395056
BGD,BGD.4,BGD.4.8.2_1,260977.4871,260,1003.759566
BGD,BGD.4,BGD.4.8.3_1,104499.7902,115,908.6938275
BGD,BGD.4,BGD.4.9.1_1,246263.818,311,791.845074
BGD,BGD.4,BGD.4.9.2_1,237807.6109,299,795.3431802
BGD,BGD.4,BGD.4.9.3_1,285894.7553,385,742.5837801
BGD,BGD.4,BGD.4.10.1_1,279095.2166,377,740.3056143
BGD,BGD.4,BGD.4.10.2_1,138451.5853,175,791.1519162
BGD,BGD.4,BGD.4.10.3_1,243361.6939,232,1048.972818
BGD,BGD.4,BGD.4.10.4_1,249334.7736,326,764.8305939
BGD,BGD.4,BGD.4.10.5_1,513758.2361,394,1303.954914
BGD,BGD.4,BGD.4.10.6_1,323761.1943,1572,205.9549582
BGD,BGD.4,BGD.4.10.7_1,310394.9227,335,926.5520081
BGD,BGD.5,BGD.5.1.1_1,215624.9793,173,1246.387164
BGD,BGD.5,BGD.5.1.2_1,617225.5283,176,3506.963229
BGD,BGD.5,BGD.5.1.3_1,321246.9332,249,1290.148326
BGD,BGD.5,BGD.5.1.4_1,199577.2009,165,1209.558794
BGD,BGD.5,BGD.5.1.5_1,355581.0883,247,1439.599548
BGD,BGD.5,BGD.5.1.6_1,247400.3259,242,1022.315396
BGD,BGD.5,BGD.5.1.7_1,194258.9836,265,733.0527681
BGD,BGD.5,BGD.5.1.8_1,297447.8096,406,732.630073
